"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь отправляет запрос без обязательного заголовка X-Api-Key","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь отправляет запрос без параметра action","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint (HEX-токены)","Успешная аутентификация с HEX-токеном","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь вводит токен неверной длины","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь пытается выполнить действие после завершения сессии","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь повторно проходит аутентификацию с тем же токеном","1","0","0","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь отправляет запрос без параметра token","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь отправляет запрос с неверным Content-Type","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint (HEX-токены)","Повторная аутентификация с HEX-токеном","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint (HEX-токены)","Внешний сервис отклоняет аутентификацию HEX-токена","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь успешно проходит аутентификацию","1","0","0","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь указывает неверное действие","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь пытается выполнить действие без аутентификации","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint (HEX-токены)","Внешний сервис недоступен для HEX-токена","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Внешний сервис отвечает с большой задержкой","0","0","0","1","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь вводит токен с недопустимыми символами","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint (HEX-токены)","Действие после успешной аутентификации с HEX-токеном","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint (HEX-токены)","Расхождение ТЗ и реализации","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь выполняет действие после успешной аутентификации","1","0","0","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Пользователь завершает сессию","1","0","0","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint (HEX-токены)","Завершение сессии с HEX-токеном","0","0","1","0","0"
"Тестирование Spring Boot приложения","Эндпоинт /endpoint","Внешний сервис отклоняет аутентификацию","1","0","0","0","0"
